0	0	13	9
0	1	0	18
0	1	19	3
0	2	1	16
0	2	20	1
0	3	7	10
0	4	8	8
0	5	9	6
0	6	15	0
0	8	3	7
0	9	4	5
0	10	5	3
0	14	0	2
1	0	6	14
1	1	12	8
1	2	13	6
1	3	0	15
1	3	14	4
1	4	1	13
1	5	2	11
1	6	8	5
1	7	9	3
1	8	10	1
1	11	4	2
1	12	5	0
2	0	18	4
2	1	5	13
2	1	19	2
2	2	6	11
2	3	7	9
2	4	13	3
2	5	14	1
2	6	1	10
2	7	2	8
2	8	3	6
2	9	9	0
3	0	11	9
3	1	12	7
3	2	18	1
3	3	0	14
3	4	6	8
3	5	7	6
3	6	8	4
3	9	2	5
3	10	3	3
3	11	4	1
4	0	4	14
4	1	5	12
4	2	11	6
4	3	12	4
4	4	13	2
4	5	0	11
4	6	1	9
4	7	7	3
4	8	8	1
4	12	3	0
5	0	16	4
5	1	17	2
5	2	4	11
5	3	5	9
5	4	6	7
5	5	12	1
5	7	0	8
5	8	1	6
5	9	2	4
6	0	9	9
6	1	10	7
6	2	11	5
6	5	5	6
6	6	6	4
6	7	7	2
6	10	1	3
6	11	2	1
7	0	2	14
7	0	16	3
7	1	3	12
7	2	4	10
7	3	10	4
7	4	11	2
7	7	0	7
7	8	6	1
8	0	9	8
8	1	15	2
8	2	16	0
8	3	3	9
8	4	4	7
8	5	5	5
8	9	0	4
8	10	1	2
9	0	2	13
9	1	8	7
9	2	9	5
9	3	10	3
9	6	4	4
9	7	5	2
9	11	0	1
10	0	14	3
10	1	1	12
10	1	15	1
10	2	2	10
10	3	3	8
10	4	9	2
10	5	10	0
11	0	7	8
11	1	8	6
11	2	14	0
11	4	2	7
11	5	3	5
11	6	4	3
12	0	0	13
12	1	1	11
12	2	7	5
12	3	8	3
12	4	9	1
12	7	3	2
12	8	4	0
13	0	12	3
13	1	13	1
13	2	0	10
13	3	1	8
13	4	2	6
13	5	8	0
14	0	5	8
14	1	6	6
14	2	7	4
14	5	1	5
14	6	2	3
14	7	3	1
15	0	12	2
15	2	0	9
15	3	6	3
15	4	7	1
15	8	2	0
16	0	5	7
16	1	11	1
16	4	0	6
16	5	1	4
17	1	4	6
17	2	5	4
17	3	6	2
17	6	0	3
17	7	1	1
18	0	10	2
18	4	5	1
19	0	3	7
19	1	4	5
19	6	0	2
20	2	3	4
20	3	4	2
21	0	8	2
21	1	9	0
22	0	1	7
22	1	2	5
22	2	3	3
23	0	8	1
23	3	2	2
23	4	3	0
24	0	1	6
24	1	7	0
25	1	0	5
25	2	1	3
25	3	2	1
26	0	6	1
26	4	1	0
27	1	0	4
28	3	0	1
29	0	4	1
34	0	2	0
37	0	0	0
