Alabama,Autauga,01,001
Alabama,Baldwin,01,003
Alabama,Barbour,01,005
Alabama,Bibb,01,007
Alabama,Blount,01,009
Alabama,Bullock,01,011
Alabama,Butler,01,013
Alabama,Calhoun,01,015
Alabama,Chambers,01,017
Alabama,Cherokee,01,019
Alabama,Chilton,01,021
Alabama,Choctaw,01,023
Alabama,Clarke,01,025
Alabama,Clay,01,027
Alabama,Cleburne,01,029
Alabama,Coffee,01,031
Alabama,Colbert,01,033
Alabama,Conecuh,01,035
Alabama,Coosa,01,037
Alabama,Covington,01,039
Alabama,Crenshaw,01,041
Alabama,Cullman,01,043
Alabama,Dale,01,045
Alabama,Dallas,01,047
Alabama,De Kalb,01,049
Alabama,Elmore,01,051
Alabama,Escambia,01,053
Alabama,Etowah,01,055
Alabama,Fayette,01,057
Alabama,Franklin,01,059
Alabama,Geneva,01,061
Alabama,Greene,01,063
Alabama,Hale,01,065
Alabama,Henry,01,067
Alabama,Houston,01,069
Alabama,Jackson,01,071
Alabama,Jefferson,01,073
Alabama,Lamar,01,075
Alabama,Lauderdale,01,077
Alabama,Lawrence,01,079
Alabama,Lee,01,081
Alabama,Limestone,01,083
Alabama,Lowndes,01,085
Alabama,Macon,01,087
Alabama,Madison,01,089
Alabama,Marengo,01,091
Alabama,Marion,01,093
Alabama,Marshall,01,095
Alabama,Mobile,01,097
Alabama,Monroe,01,099
Alabama,Montgomery,01,101
Alabama,Morgan,01,103
Alabama,Perry,01,105
Alabama,Pickens,01,107
Alabama,Pike,01,109
Alabama,Randolph,01,111
Alabama,Russell,01,113
Alabama,St Clair,01,115
Alabama,Shelby,01,117
Alabama,Sumter,01,119
Alabama,Talladega,01,121
Alabama,Tallapoosa,01,123
Alabama,Tuscaloosa,01,125
Alabama,Walker,01,127
Alabama,Washington,01,129
Alabama,Wilcox,01,131
Alabama,Winston,01,133
Alaska,Aleutians East,02,013
Alaska,Aleutians West,02,016
Alaska,Anchorage,02,020
Alaska,Bethel,02,050
Alaska,Bristol Bay,02,060
Alaska,Denali,02,068
Alaska,Dillingham,02,070
Alaska,Fairbanks North Star,02,090
Alaska,Haines,02,100
